Architecture: alexnet
=> loading checkpoint '/home/annatruzzi/checkpoints/deepcluster_checkpoints/checkpoint_dc_83.pth.tar'
=> loaded checkpoint '/home/annatruzzi/checkpoints/deepcluster_checkpoints/checkpoint_dc_83.pth.tar' (epoch 84)
Load dataset: 11.76 s
Compute features
398 / 5005	Time: 0.055 (12.042)
399 / 5005	Time: 0.064 (12.012)
400 / 5005	Time: 0.543 (11.983)
401 / 5005	Time: 0.044 (11.954)
402 / 5005	Time: 0.520 (11.925)
403 / 5005	Time: 0.048 (11.896)
404 / 5005	Time: 0.054 (11.867)
405 / 5005	Time: 1.649 (11.841)
406 / 5005	Time: 0.052 (11.813)
407 / 5005	Time: 0.058 (11.784)
408 / 5005	Time: 0.126 (11.755)
409 / 5005	Time: 4.090 (11.737)
410 / 5005	Time: 0.056 (11.708)
411 / 5005	Time: 0.129 (11.680)
412 / 5005	Time: 0.106 (11.652)
413 / 5005	Time: 0.057 (11.624)
414 / 5005	Time: 0.062 (11.596)
415 / 5005	Time: 0.043 (11.568)
416 / 5005	Time: 0.046 (11.541)
417 / 5005	Time: 4.638 (11.524)
418 / 5005	Time: 0.846 (11.499)
419 / 5005	Time: 0.062 (11.471)
420 / 5005	Time: 0.133 (11.445)
421 / 5005	Time: 0.037 (11.418)
422 / 5005	Time: 0.055 (11.391)
423 / 5005	Time: 0.036 (11.364)
424 / 5005	Time: 0.049 (11.337)
425 / 5005	Time: 0.037 (11.311)
426 / 5005	Time: 0.079 (11.284)
427 / 5005	Time: 0.041 (11.258)
428 / 5005	Time: 0.048 (11.232)
429 / 5005	Time: 0.060 (11.206)
430 / 5005	Time: 0.073 (11.180)
431 / 5005	Time: 0.051 (11.154)
432 / 5005	Time: 0.043 (11.129)
433 / 5005	Time: 0.052 (11.103)
434 / 5005	Time: 0.045 (11.078)
435 / 5005	Time: 0.044 (11.053)
436 / 5005	Time: 0.040 (11.027)
437 / 5005	Time: 0.043 (11.002)
438 / 5005	Time: 0.044 (10.977)
439 / 5005	Time: 0.053 (10.952)
440 / 5005	Time: 0.041 (10.928)
441 / 5005	Time: 0.047 (10.903)
442 / 5005	Time: 0.084 (10.879)
443 / 5005	Time: 1.620 (10.858)
444 / 5005	Time: 0.039 (10.834)
445 / 5005	Time: 0.166 (10.810)
446 / 5005	Time: 0.047 (10.786)
447 / 5005	Time: 0.338 (10.762)
448 / 5005	Time: 0.380 (10.739)
449 / 5005	Time: 0.050 (10.715)
450 / 5005	Time: 0.048 (10.692)
451 / 5005	Time: 0.038 (10.668)
452 / 5005	Time: 0.046 (10.645)
453 / 5005	Time: 0.046 (10.621)
454 / 5005	Time: 0.044 (10.598)
455 / 5005	Time: 1.621 (10.578)
456 / 5005	Time: 0.046 (10.555)
457 / 5005	Time: 0.149 (10.533)
458 / 5005	Time: 0.065 (10.510)
459 / 5005	Time: 0.366 (10.488)
460 / 5005	Time: 0.126 (10.465)
461 / 5005	Time: 0.052 (10.443)
462 / 5005	Time: 0.043 (10.420)
463 / 5005	Time: 0.039 (10.398)
464 / 5005	Time: 0.043 (10.376)
465 / 5005	Time: 0.041 (10.353)
466 / 5005	Time: 0.050 (10.331)
467 / 5005	Time: 1.736 (10.313)
468 / 5005	Time: 0.058 (10.291)
469 / 5005	Time: 0.558 (10.270)
470 / 5005	Time: 0.054 (10.249)
471 / 5005	Time: 0.064 (10.227)
472 / 5005	Time: 0.092 (10.206)
473 / 5005	Time: 0.061 (10.184)
474 / 5005	Time: 0.040 (10.163)
475 / 5005	Time: 0.041 (10.142)
476 / 5005	Time: 0.053 (10.121)
477 / 5005	Time: 0.040 (10.099)
478 / 5005	Time: 0.039 (10.078)
479 / 5005	Time: 1.571 (10.061)
480 / 5005	Time: 0.061 (10.040)
481 / 5005	Time: 0.772 (10.021)
482 / 5005	Time: 0.040 (10.000)
483 / 5005	Time: 0.055 (9.980)
484 / 5005	Time: 0.042 (9.959)
485 / 5005	Time: 0.041 (9.939)
486 / 5005	Time: 0.041 (9.918)
487 / 5005	Time: 0.044 (9.898)
488 / 5005	Time: 0.042 (9.878)
489 / 5005	Time: 0.062 (9.858)
490 / 5005	Time: 0.038 (9.838)
491 / 5005	Time: 1.620 (9.821)
492 / 5005	Time: 0.048 (9.801)
493 / 5005	Time: 0.658 (9.783)
494 / 5005	Time: 0.068 (9.763)
495 / 5005	Time: 0.040 (9.744)
496 / 5005	Time: 0.050 (9.724)
497 / 5005	Time: 0.045 (9.705)
498 / 5005	Time: 0.040 (9.685)
499 / 5005	Time: 0.063 (9.666)
500 / 5005	Time: 0.066 (9.647)
501 / 5005	Time: 0.049 (9.628)
502 / 5005	Time: 0.306 (9.609)
503 / 5005	Time: 2.234 (9.595)
504 / 5005	Time: 0.058 (9.576)
505 / 5005	Time: 0.247 (9.557)
506 / 5005	Time: 0.039 (9.539)
507 / 5005	Time: 0.044 (9.520)
508 / 5005	Time: 0.048 (9.501)
509 / 5005	Time: 0.038 (9.483)
510 / 5005	Time: 0.040 (9.464)
511 / 5005	Time: 0.043 (9.446)
512 / 5005	Time: 0.039 (9.427)
513 / 5005	Time: 0.050 (9.409)
514 / 5005	Time: 0.041 (9.391)
515 / 5005	Time: 2.057 (9.377)
516 / 5005	Time: 0.082 (9.359)
517 / 5005	Time: 0.402 (9.342)
518 / 5005	Time: 0.040 (9.324)
519 / 5005	Time: 0.040 (9.306)
520 / 5005	Time: 0.040 (9.288)
521 / 5005	Time: 0.040 (9.270)
522 / 5005	Time: 0.039 (9.253)
523 / 5005	Time: 0.049 (9.235)
524 / 5005	Time: 0.046 (9.218)
525 / 5005	Time: 0.038 (9.200)
526 / 5005	Time: 0.044 (9.183)
527 / 5005	Time: 2.052 (9.169)
528 / 5005	Time: 0.209 (9.152)
529 / 5005	Time: 1.253 (9.137)
530 / 5005	Time: 0.050 (9.120)
531 / 5005	Time: 0.039 (9.103)
532 / 5005	Time: 0.040 (9.086)
533 / 5005	Time: 0.059 (9.069)
534 / 5005	Time: 0.050 (9.052)
535 / 5005	Time: 0.041 (9.036)
536 / 5005	Time: 0.046 (9.019)
537 / 5005	Time: 0.039 (9.002)
538 / 5005	Time: 0.046 (8.986)
539 / 5005	Time: 0.932 (8.971)
540 / 5005	Time: 0.482 (8.955)
541 / 5005	Time: 1.299 (8.941)
542 / 5005	Time: 0.043 (8.924)
543 / 5005	Time: 0.056 (8.908)
544 / 5005	Time: 0.039 (8.892)
545 / 5005	Time: 0.044 (8.876)
546 / 5005	Time: 0.054 (8.860)
547 / 5005	Time: 0.045 (8.843)
548 / 5005	Time: 0.044 (8.827)
549 / 5005	Time: 0.039 (8.811)
550 / 5005	Time: 0.043 (8.796)
551 / 5005	Time: 2.378 (8.784)
552 / 5005	Time: 0.357 (8.769)
553 / 5005	Time: 0.047 (8.753)
554 / 5005	Time: 0.044 (8.737)
555 / 5005	Time: 0.043 (8.722)
556 / 5005	Time: 0.051 (8.706)
557 / 5005	Time: 0.048 (8.691)
558 / 5005	Time: 0.040 (8.675)
559 / 5005	Time: 0.051 (8.660)
560 / 5005	Time: 0.039 (8.644)
561 / 5005	Time: 0.045 (8.629)
562 / 5005	Time: 0.053 (8.614)
563 / 5005	Time: 1.591 (8.601)
564 / 5005	Time: 0.327 (8.587)
565 / 5005	Time: 0.052 (8.572)
566 / 5005	Time: 0.045 (8.557)
567 / 5005	Time: 0.039 (8.542)
568 / 5005	Time: 0.039 (8.527)
569 / 5005	Time: 0.042 (8.512)
570 / 5005	Time: 0.040 (8.497)
571 / 5005	Time: 0.045 (8.482)
572 / 5005	Time: 0.049 (8.467)
573 / 5005	Time: 0.040 (8.453)
574 / 5005	Time: 0.042 (8.438)
575 / 5005	Time: 2.273 (8.427)
576 / 5005	Time: 0.268 (8.413)
577 / 5005	Time: 0.053 (8.399)
578 / 5005	Time: 0.057 (8.384)
579 / 5005	Time: 0.819 (8.371)
580 / 5005	Time: 0.044 (8.357)
581 / 5005	Time: 0.040 (8.343)
582 / 5005	Time: 0.040 (8.328)
583 / 5005	Time: 0.055 (8.314)
584 / 5005	Time: 0.049 (8.300)
585 / 5005	Time: 0.051 (8.286)
586 / 5005	Time: 0.046 (8.272)
587 / 5005	Time: 1.873 (8.261)
588 / 5005	Time: 0.039 (8.247)
589 / 5005	Time: 0.045 (8.233)
590 / 5005	Time: 0.049 (8.219)
591 / 5005	Time: 0.406 (8.206)
592 / 5005	Time: 0.045 (8.192)
593 / 5005	Time: 0.039 (8.179)
594 / 5005	Time: 0.043 (8.165)
595 / 5005	Time: 0.061 (8.151)
596 / 5005	Time: 0.039 (8.138)
597 / 5005	Time: 0.038 (8.124)
598 / 5005	Time: 0.045 (8.111)
599 / 5005	Time: 2.068 (8.101)
600 / 5005	Time: 0.039 (8.087)
601 / 5005	Time: 0.040 (8.074)
602 / 5005	Time: 0.046 (8.061)
603 / 5005	Time: 0.711 (8.049)
604 / 5005	Time: 0.043 (8.035)
605 / 5005	Time: 0.037 (8.022)
606 / 5005	Time: 0.044 (8.009)
607 / 5005	Time: 0.039 (7.996)
608 / 5005	Time: 0.055 (7.983)
609 / 5005	Time: 0.049 (7.970)
610 / 5005	Time: 0.047 (7.957)
611 / 5005	Time: 1.503 (7.946)
612 / 5005	Time: 0.463 (7.934)
613 / 5005	Time: 0.580 (7.922)
614 / 5005	Time: 0.048 (7.909)
615 / 5005	Time: 0.039 (7.896)
616 / 5005	Time: 0.045 (7.884)
617 / 5005	Time: 0.042 (7.871)
618 / 5005	Time: 0.042 (7.858)
619 / 5005	Time: 0.048 (7.846)
620 / 5005	Time: 0.038 (7.833)
621 / 5005	Time: 0.038 (7.821)
622 / 5005	Time: 0.045 (7.808)
623 / 5005	Time: 2.210 (7.799)
624 / 5005	Time: 0.173 (7.787)
625 / 5005	Time: 0.668 (7.776)
626 / 5005	Time: 0.040 (7.763)
627 / 5005	Time: 0.039 (7.751)
